,article,cluster,internal_references,assigned_articles,references_count,assigned_articles_count,precision,correctly_labeled,recall
"('93',)",Article 1,93,['460'],"['1', '397']",1,2,0.0,0,0.0
"('79',)",Article 2,79,[],"['2', '146', '295', '380', '407', '414']",0,6,0.0,0,
"('83',)",Article 3,83,[],"['3', '436']",0,2,0.0,0,
"('19',)",Article 4,19,"['4', '2', '115', '25', '71', '301', '113', '1']","['4', '12', '98', '118', '142', '349', '405', '411', '450']",8,9,0.1111111111111111,1,0.125
"('67',)",Article 5,67,[],"['5', '192', '392']",0,3,0.0,0,
"('66',)",Article 6,66,"['19', '89', '90', '91', '508', '95', '7', '96']","['6', '16', '459']",8,3,0.0,0,0.0
"('36',)",Article 7,36,"['6', '11']","['7', '8', '9', '10', '17', '18', '49', '314', '396']",2,9,0.0,0,0.0
"('36',)",Article 8,36,"['21', '113']","['7', '8', '9', '10', '17', '18', '49', '314', '396']",2,9,0.0,0,0.0
"('36',)",Article 9,36,"['6', '7']","['7', '8', '9', '10', '17', '18', '49', '314', '396']",2,9,0.1111111111111111,1,0.5
"('36',)",Article 10,36,[],"['7', '8', '9', '10', '17', '18', '49', '314', '396']",0,9,0.0,0,
"('48',)",Article 11,48,"['18', '508', '10']","['11', '13', '14', '15', '22', '433', '434']",3,7,0.0,0,0.0
"('19',)",Article 12,19,[],"['4', '12', '98', '118', '142', '349', '405', '411', '450']",0,9,0.0,0,
"('48',)",Article 13,48,"['437', '438', '440', '442', '450', '451', '453', '10', '18']","['11', '13', '14', '15', '22', '433', '434']",9,7,0.0,0,0.0
"('48',)",Article 14,48,"['407', '92', '405', '18']","['11', '13', '14', '15', '22', '433', '434']",4,7,0.0,0,0.0
"('48',)",Article 15,48,"['95', '96', '26', '51', '62', '36', '56', '66']","['11', '13', '14', '15', '22', '433', '434']",8,7,0.0,0,0.0
"('66',)",Article 16,66,['6'],"['6', '16', '459']",1,3,0.3333333333333333,1,1.0
"('36',)",Article 17,36,['15'],"['7', '8', '9', '10', '17', '18', '49', '314', '396']",1,9,0.0,0,0.0
